"","rounds","threshold","mean_f1"
"1",400,0.15,0.373402477527209
"2",400,0.155,0.374390037073943
"3",400,0.16,0.375280762895231
"4",400,0.165,0.37622568835727
"5",400,0.17,0.376480180030732
"6",400,0.175,0.376937556985271
"7",400,0.18,0.376994621702912
"8",500,0.15,0.373382456035888
"9",500,0.155,0.374531431880976
"10",500,0.16,0.375506342917602
"11",500,0.165,0.376291256579048
"12",500,0.17,0.376798066876567
"13",500,0.175,0.377093854096133
"14",500,0.18,0.376963424906372
"15",550,0.15,0.373724469934994
"16",550,0.155,0.374686616313027
"17",550,0.16,0.37553961063481
"18",550,0.165,0.376320576750787
"19",550,0.17,0.376764877969662
"20",550,0.175,0.377327883288098
"21",550,0.18,0.37731205048205
"22",600,0.15,0.373366720412031
"23",600,0.155,0.374703463847617
"24",600,0.16,0.375669800355492
"25",600,0.165,0.37613518947307
"26",600,0.17,0.376845356173936
"27",600,0.175,0.377376591085242
"28",600,0.18,0.377182344801588
"29",650,0.15,0.373544003188729
"30",650,0.155,0.374918101739724
"31",650,0.16,0.375480255392872
"32",650,0.165,0.376167972147895
"33",650,0.17,0.376853659412047
"34",650,0.175,0.377204483543064
"35",650,0.18,0.377313319486357
