"","removed_feature","threshold","mean_f1"
"1",43,0.16,0.375160698737484
"2",43,0.165,0.37615120838167
"3",43,0.17,0.376384881025289
"4",43,0.175,0.377040430615499
"5",43,0.18,0.376926043066428
"6",43,0.185,0.377116385988963
"7",43,0.19,0.37723233964187
"8",8,0.16,0.376027964497513
"9",8,0.165,0.376625016311923
"10",8,0.17,0.377358599726051
"11",8,0.175,0.377326896993039
"12",8,0.18,0.377060335243601
"13",8,0.185,0.376879500281397
"14",8,0.19,0.376986575421897
"15",19,0.16,0.375757776008806
"16",19,0.165,0.376310964616538
"17",19,0.17,0.376808533258486
"18",19,0.175,0.376989215029967
"19",19,0.18,0.377230408470269
"20",19,0.185,0.377423624515271
"21",19,0.19,0.37714631862245
"22",42,0.16,0.37507362534296
"23",42,0.165,0.375635550903056
"24",42,0.17,0.37622533057228
"25",42,0.175,0.376425559525815
"26",42,0.18,0.376273504534789
"27",42,0.185,0.376357548783673
"28",42,0.19,0.37610915967964
"29",9,0.16,0.374573676142375
"30",9,0.165,0.375475164357445
"31",9,0.17,0.375754998308428
"32",9,0.175,0.375942854882551
"33",9,0.18,0.37613000349535
"34",9,0.185,0.375975516537369
"35",9,0.19,0.375980439211668
"36",37,0.16,0.375611342054275
"37",37,0.165,0.376562124340203
"38",37,0.17,0.377150886353359
"39",37,0.175,0.377712143985554
"40",37,0.18,0.377864679493847
"41",37,0.185,0.37772766954826
"42",37,0.19,0.377235676899961
"43",44,0.16,0.37580134944507
"44",44,0.165,0.376507726135521
"45",44,0.17,0.376888258922641
"46",44,0.175,0.377273198336381
"47",44,0.18,0.376835517362216
"48",44,0.185,0.376681104363333
"49",44,0.19,0.37652678233673
"50",28,0.16,0.375406478795401
"51",28,0.165,0.37604663247274
"52",28,0.17,0.37655317736087
"53",28,0.175,0.376848673822281
"54",28,0.18,0.37677777855592
"55",28,0.185,0.376732461938748
"56",28,0.19,0.376458951987927
"57",27,0.16,0.375350623027762
"58",27,0.165,0.37632278549586
"59",27,0.17,0.37696286575664
"60",27,0.175,0.3771217723011
"61",27,0.18,0.377434342581603
"62",27,0.185,0.3771139258448
"63",27,0.19,0.377205866414039
